computer/icons/hotel_icon_in_room_hair_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_in_room_inte_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_in_room_iron_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_in_room_movi_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_in_room_phon_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_in_room_web__01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_internet_con_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_laundromat_ge_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_laundry_serv_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_meeting_room_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_money_exchan_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/icons/hotel_icon_mountain_bik_01.svg: unknown SVG attribute 'space' (line 2, column 94)
